CommonName	SciName	Location	Study_year_min	Study_year_max	Study_year_pub	Arrival_date_min	Arrival_date_mean	Arrival_date_max	Nest_build_date_min	Nest_build_date_peak	Nest_build_date_max	Egg_laying_date_min	Egg_laying_date_max	Pair_form_d_min	Pair_form_d_max	Site_selec_d_min	Site_selec_d_max	Nest_build_d_min	Nest_build_d_mean	Nest_build_d_max	Pre_laying_d_min	Pre_laying_d_max	Egg_laying_d_min	Egg_laying_d_max	Incubation_d_min	Incubation_d_max	Nestling_d_min	Nestling_d_max	Post_fledging_d_min	Post_fledging_d_max	Source	Notes
Red-eyed Vireo	Vireo olivaceus	Ontario			1953				28-May-53					3	15			4		5	1	4	3	4							Lawrence 1953	
Red-eyed Vireo	Vireo olivaceus	Illinois			1985				7-May-85			15-May-85																			Graber et al. 1985	
Red-eyed Vireo	Vireo olivaceus	NE Ontario			1974							24-May-74																			Rice 1974	
Red-eyed Vireo	Vireo olivaceus	British Columbia			1997							23-May-97	19-Jul-97			5	6														Campbell et al. 1997	
Red-eyed Vireo	Vireo olivaceus																						3	4	12	14	10	12	15	16	BNA	
Yellow Warbler	Setophaga petechia													1	1	NA	NA	3		10	NA	NA	4	5	10	13	8	10	17	21	BNA	
Eastern Wood-Pewee	Contopus virens													NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	12	14	16	18	NA	NA	BNA	
Acadian Flycatcher	Empidonax virescens													4	7	3	10	NA	3.38	14	NA	NA	1	4	13	15	NA	14	NA	NA	BNA	
Great Crested Flycatcher	Myiarchus crinitus													NA	NA	6	28	2	NA	4	NA	NA	4	5	13	15	13	16	9	21	BNA	
Eastern Wood-Pewee	Contopus virens													NA	NA	NA	NA	4	6	10	NA	NA	2	4	12	14	11	18	21	28	BNA	
Red-eyed Vireo	Vireo olivaceus													3	15	NA	NA	4	NA	5	1	4	3	4	12	14	10	12	15	16	BNA	
Blue-headed Vireo	Vireo solitarius													1	16	1	28	NA	NA	8	NA	NA	3	4	13	14	12	13	14	28	BNA	
Warbling Vireo	Vireo gilvus													1	4	2	7	6	NA	7	1	4	3	4	13	14	13	14	NA	14	BNA	
Yellow-throated Vireo	Vireo flavifrons													1	3	NA	NA	NA	NA	8	NA	1	3	4	13	16	13	NA	14	28	BNA	
Veery	Catharus fuscescens													7	NA	NA	NA	NA	NA	NA	NA	4	2	4	10	14	10	12	14	17	BNA	
Gray Catbird	Dumetella carolinensis													1	NA	NA	NA	5	NA	6	1	6	1	5	12	15	8	15	1	12	BNA	
Yellow-throated Warbler	Setophaga dominica													NA	11	NA	NA	NA	NA	NA	NA	11	3	5	12	13	NA	10	NA	NA	BNA	
